id,project_id,cost_code,name,created_at,start_on_site,practical_completion,scope_generated_at,scope_approved_at,tender_sent_at,recommendation_approved_at,contract_generated_at,contract_signed_at
1199f717-caea-4bf2-92b6-359654af53fb,2ed494f2-03ca-4a8b-9971-89cb4df086d0,13000,Earthworks & Piling,2024-08-27 4:04:41,2024-09-23,2024-12-06,2024-07-01,2024-07-15,,,,
130ef2c8-1fbf-42a1-977a-b06d77a4bc6f,2ed494f2-03ca-4a8b-9971-89cb4df086d0,15200,Precast,2024-08-27 4:04:41,2024-11-27,2025-05-08,2024-09-04,,,,,
cbf9dc3c-c7bb-4e5a-9020-b106ce94fd23,2ed494f2-03ca-4a8b-9971-89cb4df086d0,21000,Structural Steel,2024-08-27 4:04:41,2025-05-09,2025-06-16,,,,2025-03-28,2025-04-11,2025-05-02
89fb3770-49ff-4ba4-8521-c56d88cac5f1,2ed494f2-03ca-4a8b-9971-89cb4df086d0,26000,Hydraulic,2024-08-27 4:04:42,2024-09-18,2026-02-09,2024-06-26,2024-07-10,,2024-08-07,2024-08-21,2024-09-11
33e08e3c-5b0d-49d4-a59a-16f4fb972238,2ed494f2-03ca-4a8b-9971-89cb4df086d0,27000,Electrical,2024-08-27 4:04:42,2024-09-18,2026-02-09,2024-06-26,2024-07-10,,2024-08-07,2024-08-21,2024-09-11
67debc99-8c24-4822-8fad-46f7a89406f6,7f2e5d26-e8fd-454c-9822-a5767b28afa5,1608,Contract Administration,2024-05-22 22:29:33,2024-07-18,,2024-04-25,2024-05-09,2024-05-09,2024-06-06,2024-06-20,2024-07-11
4486102c-2f9d-4697-8fd8-def190ac09de,7f2e5d26-e8fd-454c-9822-a5767b28afa5,1610,Site Management,2024-05-22 22:29:33,,,2024-04-25,2024-05-09,2024-05-09,2024-06-06,2024-06-20,2024-07-11
cc90dba5-a93c-42fa-a11c-1c35558f3402,7f2e5d26-e8fd-454c-9822-a5767b28afa5,1620,Labour,2024-05-22 22:29:33,2024-07-18,,2024-04-25,2024-05-09,2024-05-09,2024-06-06,2024-06-20,2024-07-11
594cc663-ed64-436f-85e5-b9f0ada46d5d,7f2e5d26-e8fd-454c-9822-a5767b28afa5,1900,Design Services,2024-05-22 22:29:33,2024-06-05,2024-06-24,2024-03-13,2024-03-27,2024-03-27,2024-04-24,2024-05-08,2024-05-29
aa054cb3-766f-4530-98ae-7409206a2e64,7f2e5d26-e8fd-454c-9822-a5767b28afa5,2000,Demolition,2024-05-22 22:29:33,2024-07-18,2024-11-04,,,,,,
955cedc0-1823-421c-bdba-915970bc08b1,7f2e5d26-e8fd-454c-9822-a5767b28afa5,3000,Concrete Package,2024-05-22 22:29:33,2024-07-18,,,,,,,
dbf96420-a009-4f20-a901-4f3ff03cd9b0,7f2e5d26-e8fd-454c-9822-a5767b28afa5,4400,Structural Steel,2024-05-22 22:29:33,,2025-01-30,,,,,,
78cb5e14-d964-4284-88a0-00fe95a01bb4,7f2e5d26-e8fd-454c-9822-a5767b28afa5,5300,Sanitary Hardware Supply,2024-05-22 22:29:33,2024-08-22,,2024-05-30,2024-06-13,,,,
756901b3-587f-4b9f-a1c7-c7194ba109f9,e3d74a0c-e4bd-402c-bf0e-7b00c87e0503,0903,Timber Doors Supply,2024-03-20 01:35:41,2024-08-26,2024-09-06,2024-06-03,2024-06-17,2024-06-17,2024-07-15,,2024-08-19
7fc01ae0-a29e-4fe0-a39b-71dff8e4bf69,e3d74a0c-e4bd-402c-bf0e-7b00c87e0503,0904,Bi-Fold Door,2024-03-20 01:35:41,2024-09-24,2024-11-26,2024-07-02,2024-07-16,2024-07-16,2024-08-13,,2024-09-17
8df4c3c2-56e5-4863-9e09-d7ca52e89882,e3d74a0c-e4bd-402c-bf0e-7b00c87e0503,0709,Blinds,2024-03-20 01:35:41,2024-10-03,2024-10-03,2024-07-11,2024-07-25,2024-07-25,2024-08-22,2024-09-05,2024-09-26
d58bf22b-481a-416d-8e7d-ae779668ff2f,e3d74a0c-e4bd-402c-bf0e-7b00c87e0503,1001,Mirrors,2024-03-20 01:35:41,2024-10-08,2024-10-31,,,,,,
063f2830-0982-47ed-afeb-c98c3a6549cb,e3d74a0c-e4bd-402c-bf0e-7b00c87e0503,1102,Door Hardware,2024-03-20 01:35:41,2024-08-30,2024-09-30,2024-06-07,2024-06-21,,,2024-08-02,
88818999-2b5d-4c01-ac26-b98ab76d4f9d,e3d74a0c-e4bd-402c-bf0e-7b00c87e0503,1201,Plastering & Cladding,2024-03-20 01:35:42,2024-07-22,2024-09-14,,,,,2024-06-24,
df0aed53-0a2e-4378-b13e-01039abbd19b,e3d74a0c-e4bd-402c-bf0e-7b00c87e0503,1301,Roof Plumbing,2024-03-20 01:35:42,2024-07-05,2024-09-04,,,,2024-05-24,2024-06-07,2024-06-28
ebb30276-48c0-4531-bea2-b2f2bd6f2d93,ef94cdf5-faa0-4f83-8cec-d0dab0054712,21-01,Mechanical D&C,2024-06-24 04:28:49,2024-09-23,2025-08-01,,,,2024-08-12,2024-08-26,2024-09-16
a90a22c5-c601-434e-90c6-455c51c7aad5,ef94cdf5-faa0-4f83-8cec-d0dab0054712,22-01,Lift Services,2024-06-24 04:28:50,2024-10-15,2025-05-29,,,,2024-09-03,2024-09-17,2024-10-08
962d8710-dc84-4bdb-a726-8256c9fbd825,ef94cdf5-faa0-4f83-8cec-d0dab0054712,09-01,Aluminium Windows & Doors,2024-06-24 04:28:50,2024-11-18,2025-04-30,2024-08-26,2024-09-09,,2024-10-07,2024-10-21,2024-11-11
7f634c2d-100b-42da-ba16-940ea9096358,ef94cdf5-faa0-4f83-8cec-d0dab0054712,08-02,Carpentry Package,2024-06-24 04:28:50,2025-01-15,,2024-10-23,2024-11-06,,2024-12-04,2024-12-18,
a59fd579-6543-4e57-8516-c22ec47571c1,ef94cdf5-faa0-4f83-8cec-d0dab0054712,11-01,Render,2024-06-24 04:28:50,2024-12-20,2025-02-03,2024-09-27,2024-10-11,,2024-11-08,2024-11-22,
147c8068-8b67-4e2e-8bba-81cc8a6672a2,ef94cdf5-faa0-4f83-8cec-d0dab0054712,13-01,Tiling & Paving Package,2024-06-24 04:28:51,2025-03-03,2025-05-01,2024-12-09,2024-12-23,,,2025-02-03,
0c7cf74d-c85f-47a8-8d4c-e14d788dadf8,ef94cdf5-faa0-4f83-8cec-d0dab0054712,60-02,Structural  Engineer,2024-06-24 04:28:51,2024-05-15,2024-10-01,2024-02-21,2024-03-06,,,,
aabc40aa-9426-4684-b40a-690085676320,ef94cdf5-faa0-4f83-8cec-d0dab0054712,60-05,Fire Engineer,2024-06-24 04:28:51,2024-05-23,2025-08-01,2024-02-29,2024-03-14,2024-03-14,,,
0416be0a-7e8f-4e37-a2e3-b171ae1c356f,ef94cdf5-faa0-4f83-8cec-d0dab0054712,60-06,Acoustic Consultant,2024-06-24 04:28:52,2024-05-24,2025-07-01,2024-03-01,2024-03-15,2024-03-15,2024-04-12,,
